Period,Frame,Time [s],Team,Player,X,Y,Ball_x,Ball_y
1,9,0.36,Team B,10,98.06652423965437,49.83784402586518,50.0,50.0
1,10,0.4,Team A,0,20.676034726045685,25.56336227170475,50.0,50.0
1,10,0.4,Team A,1,20.87999999999998,50.0,50.0,50.0
1,10,0.4,Team A,2,20.676034726045685,74.43663772829521,50.0,50.0
1,10,0.4,Team A,3,20.466399067202783,97.25376149247555,50.0,50.0
1,10,0.4,Team A,4,50.0,26.32000000000001,50.0,50.0
1,10,0.4,Team A,5,46.31999999999997,50.0,50.0,50.0
1,10,0.4,Team A,6,50.0,73.67999999999995,50.0,50.0
1,10,0.4,Team A,7,50.0,96.67999999999995,50.0,50.0
1,10,0.4,Team A,8,79.771407365359,25.06014044192009,50.0,50.0
1,10,0.4,Team A,9,80.1102935196435,74.49664090761254,50.0,50.0
1,10,0.4,Team A,10,2.000763991809618,49.95373794849316,50.0,50.0
1,10,0.4,Team B,0,84.28391454533806,25.5114896104728,50.0,50.0
1,10,0.4,Team B,1,84.12000000000002,50.0,50.0,50.0
1,10,0.4,Team B,2,84.28391454533806,74.48851038952712,50.0,50.0
1,10,0.4,Team B,3,84.48152850144449,97.28895337340956,50.0,50.0
1,10,0.4,Team B,4,54.74112670161762,26.294366491912033,50.0,50.0
1,10,0.4,Team B,5,50.68000000000003,50.0,50.0,50.0
1,10,0.4,Team B,6,54.74112670161762,73.70563350808793,50.0,50.0
1,10,0.4,Team B,7,54.8632399687775,96.68710370026412,50.0,50.0
1,10,0.4,Team B,8,24.825580543655644,25.4186651618924,50.0,50.0
1,10,0.4,Team B,9,24.92788170722864,74.42764745873671,50.0,50.0
1,10,0.4,Team B,10,98.01083078336603,49.89527432210905,50.0,50.0
1,11,0.44,Team A,0,20.737492428413475,25.61457702367791,50.0,50.0
1,11,0.44,Team A,1,20.95999999999998,50.0,50.0,50.0
1,11,0.44,Team A,2,20.737492428413475,74.38542297632205,50.0,50.0
1,11,0.44,Team A,3,20.508798982403036,97.18592162815514,50.0,50.0
1,11,0.44,Team A,4,50.0,26.440000000000012,50.0,50.0
1,11,0.44,Team A,5,46.43999999999997,50.0,50.0,50.0
1,11,0.44,Team A,6,50.0,73.55999999999995,50.0,50.0
1,11,0.44,Team A,7,50.0,96.55999999999995,50.0,50.0
1,11,0.44,Team A,8,79.79209714292007,25.137418725444462,50.0,50.0
1,11,0.44,Team A,9,80.07574811743787,74.42448402861649,50.0,50.0
1,11,0.44,Team A,10,1.9708041673093466,49.87955972449236,50.0,50.0
1,11,0.44,Team B,0,84.21881586764152,25.557988665970328,50.0,50.0
1,11,0.44,Team B,1,84.04000000000002,50.0,50.0,50.0
1,11,0.44,Team B,2,84.21881586764152,74.44201133402959,50.0,50.0
1,11,0.44,Team B,3,84.43439472884853,97.22431277099224,50.0,50.0
1,11,0.44,Team B,4,54.71759276540104,26.412036172994945,50.0,50.0
1,11,0.44,Team B,5,50.56000000000003,50.0,50.0,50.0
1,11,0.44,Team B,6,54.71759276540104,73.58796382700501,50.0,50.0
1,11,0.44,Team B,7,54.85080723866636,96.56774949119722,50.0,50.0
1,11,0.44,Team B,8,24.82354092019397,25.498639157266737,50.0,50.0
1,11,0.44,Team B,9,24.93822044886989,74.50697658593018,50.0,50.0
1,11,0.44,Team B,10,98.01004649723264,49.97527047761206,50.0,50.0
1,12,0.48,Team A,0,20.798950130781265,25.66579177565107,50.0,50.0
1,12,0.48,Team A,1,21.039999999999978,50.0,50.0,50.0
1,12,0.48,Team A,2,20.798950130781265,74.33420822434888,50.0,50.0
1,12,0.48,Team A,3,20.55119889760329,97.11808176383474,50.0,50.0
1,12,0.48,Team A,4,50.0,26.560000000000013,50.0,50.0
1,12,0.48,Team A,5,46.55999999999997,50.0,50.0,50.0
1,12,0.48,Team A,6,50.0,73.43999999999994,50.0,50.0
1,12,0.48,Team A,7,50.0,96.43999999999994,50.0,50.0
1,12,0.48,Team A,8,79.80020120853337,25.217007192702823,50.0,50.0
1,12,0.48,Team A,9,80.11371007307817,74.35406464262113,50.0,50.0
1,12,0.48,Team A,10,1.9470388313573737,49.955948262946045,50.0,50.0
1,12,0.48,Team B,0,84.15371718994498,25.604487721467855,50.0,50.0
1,12,0.48,Team B,1,83.96000000000002,50.0,50.0,50.0
1,12,0.48,Team B,2,84.15371718994498,74.39551227853205,50.0,50.0
1,12,0.48,Team B,3,84.38726095625258,97.15967216857493,50.0,50.0
1,12,0.48,Team B,4,54.694058829184456,26.529705854077857,50.0,50.0
1,12,0.48,Team B,5,50.44000000000003,50.0,50.0,50.0
1,12,0.48,Team B,6,54.694058829184456,73.4702941459221,50.0,50.0
1,12,0.48,Team B,7,54.838374508555226,96.44839528213032,50.0,50.0
1,12,0.48,Team B,8,24.77875197336895,25.432352278909814,50.0,50.0
1,12,0.48,Team B,9,24.91965517268725,74.42916058166202,50.0,50.0
1,12,0.48,Team B,10,97.9739477822095,49.903878021612286,50.0,50.0
1,13,0.52,Team A,0,20.860407833149054,25.71700652762423,50.0,50.0
1,13,0.52,Team A,1,21.119999999999976,50.0,50.0,50.0
1,13,0.52,Team A,2,20.860407833149054,74.28299347237572,50.0,50.0
1,13,0.52,Team A,3,20.593598812803542,97.05024189951433,50.0,50.0
1,13,0.52,Team A,4,50.0,26.680000000000014,50.0,50.0
1,13,0.52,Team A,5,46.679999999999964,50.0,50.0,50.0
1,13,0.52,Team A,6,50.0,73.31999999999994,50.0,50.0
1,13,0.52,Team A,7,50.0,96.31999999999994,50.0,50.0
1,13,0.52,Team A,8,79.79272366995106,25.296656966191204,50.0,50.0
1,13,0.52,Team A,9,80.12761420097934,74.27528218754826,50.0,50.0
1,13,0.52,Team A,10,1.9030326691178003,49.88913914915949,50.0,50.0
1,13,0.52,Team B,0,84.08861851224844,25.650986776965382,50.0,50.0
1,13,0.52,Team B,1,83.88000000000002,50.0,50.0,50.0
1,13,0.52,Team B,2,84.08861851224844,74.34901322303452,50.0,50.0
1,13,0.52,Team B,3,84.34012718365662,97.09503156615762,50.0,50.0
1,13,0.52,Team B,4,54.670524892967876,26.64737553516077,50.0,50.0
1,13,0.52,Team B,5,50.320000000000036,50.0,50.0,50.0
1,13,0.52,Team B,6,54.670524892967876,73.35262446483918,50.0,50.0
1,13,0.52,Team B,7,54.82594177844409,96.32904107306342,50.0,50.0
1,13,0.52,Team B,8,24.767154603427585,25.511507196700453,50.0,50.0
1,13,0.52,Team B,9,24.908652032340086,74.34992087632119,50.0,50.0
1,13,0.52,Team B,10,97.916366482787,49.84834070121586,50.0,50.0
1,14,0.56,Team A,0,20.921865535516844,25.768221279597388,50.0,50.0
1,14,0.56,Team A,1,21.199999999999974,50.0,50.0,50.0
1,14,0.56,Team A,2,20.921865535516844,74.23177872040256,50.0,50.0
1,14,0.56,Team A,3,20.635998728003795,96.98240203519393,50.0,50.0
1,14,0.56,Team A,4,50.0,26.800000000000015,50.0,50.0
1,14,0.56,Team A,5,46.79999999999996,50.0,50.0,50.0
1,14,0.56,Team A,6,50.0,73.19999999999993,50.0,50.0
1,14,0.56,Team A,7,50.0,96.19999999999993,50.0,50.0
1,14,0.56,Team A,8,79.79306413849388,25.376656241695244,50.0,50.0
1,14,0.56,Team A,9,80.06098693993765,74.31956320025215,50.0,50.0
1,14,0.56,Team A,10,1.8885022986923217,49.81046978831743,50.0,50.0
1,14,0.56,Team B,0,84.0235198345519,25.69748583246291,50.0,50.0
1,14,0.56,Team B,1,83.80000000000003,50.0,50.0,50.0
1,14,0.56,Team B,2,84.0235198345519,74.30251416753698,50.0,50.0
1,14,0.56,Team B,3,84.29299341106066,97.0303909637403,50.0,50.0
1,14,0.56,Team B,4,54.646990956751296,26.76504521624368,50.0,50.0
1,14,0.56,Team B,5,50.20000000000004,50.0,50.0,50.0
1,14,0.56,Team B,6,54.646990956751296,73.23495478375627,50.0,50.0
1,14,0.56,Team B,7,54.81350904833295,96.20968686399652,50.0,50.0
1,14,0.56,Team B,8,24.769761359258023,25.591464715571668,50.0,50.0
1,14,0.56,Team B,9,24.905133124492572,74.26999830574466,50.0,50.0
1,14,0.56,Team B,10,97.84195809149487,49.87772422219819,50.0,50.0
1,15,0.6,Team A,0,20.876854122294763,25.834357296106933,50.20000000000004,50.0
1,15,0.6,Team A,1,21.166396441245364,49.92739971874004,50.20000000000004,50.0
1,15,0.6,Team A,2,20.944355095066143,74.15500489861884,50.20000000000004,50.0
1,15,0.6,Team A,3,20.62705450928227,96.90290360155237,50.20000000000004,50.0
1,15,0.6,Team A,4,50.024576258606764,26.917456406861852,50.20000000000004,50.0
1,15,0.6,Team A,5,46.91999999999996,50.0,50.20000000000004,50.0
1,15,0.6,Team A,6,50.024576258606764,73.0825435931381,50.20000000000004,50.0
1,15,0.6,Team A,7,50.01294878097556,96.08070067447272,50.20000000000004,50.0
1,15,0.6,Team A,8,79.86750681725653,25.40595278720219,50.20000000000004,50.0
1,15,0.6,Team A,9,80.02037416944059,74.38848781757102,50.20000000000004,50.0
1,15,0.6,Team A,10,1.95820275767373,49.849736135458215,50.20000000000004,50.0
1,15,0.6,Team B,0,84.00299952757516,25.62016237546841,50.20000000000004,50.0
1,15,0.6,Team B,1,83.83326078082145,49.927242041953136,50.20000000000004,50.0
1,15,0.6,Team B,2,84.00825388598251,74.38104410332123,50.20000000000004,50.0
1,15,0.6,Team B,3,84.29542953891566,96.95042806433642,50.20000000000004,50.0
1,15,0.6,Team B,4,54.643788505444,26.88500247657262,50.20000000000004,50.0
1,15,0.6,Team B,5,50.02000000000004,50.0,50.20000000000004,50.0
1,15,0.6,Team B,6,54.658345584802426,73.11549318983663,50.20000000000004,50.0
1,15,0.6,Team B,7,54.81226091898826,96.08969335511733,50.20000000000004,50.0
1,15,0.6,Team B,8,24.7250639121783,25.657813326895155,50.20000000000004,50.0
1,15,0.6,Team B,9,24.883488919899026,74.19298188926406,50.20000000000004,50.0
1,15,0.6,Team B,10,97.84866770628824,49.798006087063676,50.20000000000004,50.0
1,16,0.64,Team A,0,20.826854474036786,25.77190703450557,50.02000000000004,50.0
1,16,0.64,Team A,1,21.17543218969175,49.847911636299884,50.02000000000004,50.0
1,16,0.64,Team A,2,20.968069167238536,74.23140936695023,50.02000000000004,50.0
1,16,0.64,Team A,3,20.650615829963186,96.82645189020612,50.02000000000004,50.0
1,16,0.64,Team A,4,50.04813286175183,27.035121552288462,50.02000000000004,50.0
1,16,0.64,Team A,5,47.03999999999996,50.0,50.02000000000004,50.0
1,16,0.64,Team A,6,50.04820478389625,72.96489286941468,50.02000000000004,50.0
1,16,0.64,Team A,7,50.025400032341324,95.96134839615586,50.02000000000004,50.0
1,16,0.64,Team A,8,79.87132806109402,25.485861473185217,50.02000000000004,50.0
1,16,0.64,Team A,9,79.99676318740194,74.31205142880775,50.02000000000004,50.0
1,16,0.64,Team A,10,1.8892230928677574,49.89025533884693,50.02000000000004,50.0
1,16,0.64,Team B,0,84.03335963840243,25.546147081977434,50.02000000000004,50.0
1,16,0.64,Team B,1,83.90495485404182,49.96273795531049,50.02000000000004,50.0
1,16,0.64,Team B,2,84.0094672432202,74.30105330532412,50.02000000000004,50.0
1,16,0.64,Team B,3,84.30970017669968,96.87171117353631,50.02000000000004,50.0
1,16,0.64,Team B,4,54.627123702559715,27.003839694416307,50.02000000000004,50.0
1,16,0.64,Team B,5,49.750000000000036,50.0,50.02000000000004,50.0
1,16,0.64,Team B,6,54.58900354425393,73.01755605993907,50.02000000000004,50.0
1,16,0.64,Team B,7,54.709578442783766,96.15179254255577,50.02000000000004,50.0
1,16,0.64,Team B,8,24.722885996164546,25.737783675661664,50.02000000000004,50.0
